Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat,pred_elevasi
12/1/2021,2021,December,12,Jakarta Utara,Koja,7745.656,120,5.21339290442304
12/1/2021,2021,December,12,Jakarta Utara,Pademangan,164028.898909211,518,4.15813324104026
12/1/2021,2021,December,12,Jakarta Utara,Penjaringan,618783.391806141,12129,1.23705327029108
12/1/2021,2021,December,12,Jakarta Utara,Tanjung Priok,1789.33830023138,28,4.15104324011495
1/1/2022,2022,January,13,Jakarta Utara,Cilincing,4679.854,73,2.18822006109755
1/1/2022,2022,January,13,Jakarta Utara,Kelapa gading,508498.8,7901,5.22554780943686
1/1/2022,2022,January,13,Jakarta Utara,Koja,7714.803,120,5.21339290442304
1/1/2022,2022,January,13,Jakarta Utara,Pademangan,161966.970188937,490,4.15813324104026
1/1/2022,2022,January,13,Jakarta Utara,Penjaringan,612626.394184416,12008,1.23705327029108
1/1/2022,2022,January,13,Jakarta Utara,Tanjung Priok,1720.89737915029,27,4.15104324011495
2/1/2022,2022,February,14,Jakarta Utara,Cilincing,4643.2,72,2.18822006109755
2/1/2022,2022,February,14,Jakarta Utara,Kelapa gading,518283,8053,5.22554780943686
2/1/2022,2022,February,14,Jakarta Utara,Koja,7683.95,119,5.21339290442304
2/1/2022,2022,February,14,Jakarta Utara,Pademangan,159946.699457185,464,4.15813324104026
2/1/2022,2022,February,14,Jakarta Utara,Penjaringan,606530.659712634,11889,1.23705327029108
2/1/2022,2022,February,14,Jakarta Utara,Tanjung Priok,1655.07427476591,26,4.15104324011495
3/1/2022,2022,March,15,Jakarta Utara,Cilincing,4606.546,72,2.18822006109755
3/1/2022,2022,March,15,Jakarta Utara,Kelapa gading,528067.2,8205,5.22554780943686
3/1/2022,2022,March,15,Jakarta Utara,Koja,7653.097,119,5.21339290442304
3/1/2022,2022,March,15,Jakarta Utara,Pademangan,157966.436727567,439,4.15813324104026
3/1/2022,2022,March,15,Jakarta Utara,Penjaringan,600495.578812266,11770,1.23705327029108
3/1/2022,2022,March,15,Jakarta Utara,Tanjung Priok,1591.76885744602,25,4.15104324011495
4/1/2022,2022,April,16,Jakarta Utara,Cilincing,4569.892,71,2.18822006109755
4/1/2022,2022,April,16,Jakarta Utara,Kelapa gading,537851.4,8357,5.22554780943686
4/1/2022,2022,April,16,Jakarta Utara,Koja,7622.244,118,5.21339290442304
4/1/2022,2022,April,16,Jakarta Utara,Pademangan,156024.628141857,416,4.15813324104026
4/1/2022,2022,April,16,Jakarta Utara,Penjaringan,594520.547970194,11653,1.23705327029108
4/1/2022,2022,April,16,Jakarta Utara,Tanjung Priok,1530.88482744582,24,4.15104324011495
5/1/2022,2022,May,17,Jakarta Utara,Cilincing,4533.238,70,2.18822006109755
5/1/2022,2022,May,17,Jakarta Utara,Kelapa gading,547635.6,8509,5.22554780943686
5/1/2022,2022,May,17,Jakarta Utara,Koja,7591.391,118,5.21339290442304
5/1/2022,2022,May,17,Jakarta Utara,Pademangan,154119.808644788,393,4.15813324104026
5/1/2022,2022,May,17,Jakarta Utara,Penjaringan,588604.969678355,11537,1.23705327029108
5/1/2022,2022,May,17,Jakarta Utara,Tanjung Priok,1472.32956841743,23,4.15104324011495
6/1/2022,2022,June,18,Jakarta Utara,Cilincing,4496.584,70,2.18822006109755
6/1/2022,2022,June,18,Jakarta Utara,Kelapa gading,557419.8,8661,5.22554780943686
6/1/2022,2022,June,18,Jakarta Utara,Koja,7560.538,117,5.21339290442304
6/1/2022,2022,June,18,Jakarta Utara,Pademangan,152250.595343573,372,4.15813324104026
6/1/2022,2022,June,18,Jakarta Utara,Penjaringan,582748.25237399,11422,1.23705327029108
6/1/2022,2022,June,18,Jakarta Utara,Tanjung Priok,1416.01400652262,22,4.15104324011495
7/1/2022,2022,July,19,Jakarta Utara,Cilincing,4459.93,69,2.18822006109755
7/1/2022,2022,July,19,Jakarta Utara,Kelapa gading,567204,8813,5.22554780943686
7/1/2022,2022,July,19,Jakarta Utara,Koja,7529.685,117,5.21339290442304
7/1/2022,2022,July,19,Jakarta Utara,Pademangan,150415.681476753,352,4.15813324104026
7/1/2022,2022,July,19,Jakarta Utara,Penjaringan,576949.810380487,11309,1.23705327029108
7/1/2022,2022,July,19,Jakarta Utara,Tanjung Priok,1361.85247493432,21,4.15104324011495
8/1/2022,2022,August,20,Jakarta Utara,Cilincing,4423.276,69,2.18822006109755
8/1/2022,2022,August,20,Jakarta Utara,Kelapa gading,576988.2,8965,5.22554780943686
8/1/2022,2022,August,20,Jakarta Utara,Koja,7498.832,117,5.21339290442304
8/1/2022,2022,August,20,Jakarta Utara,Pademangan,148613.830926485,334,4.15813324104026
8/1/2022,2022,August,20,Jakarta Utara,Penjaringan,571209.063848815,11196,1.23705327029108
8/1/2022,2022,August,20,Jakarta Utara,Tanjung Priok,1309.76258352082,20,4.15104324011495
9/1/2022,2022,September,21,Jakarta Utara,Cilincing,4386.622,68,2.18822006109755
9/1/2022,2022,September,21,Jakarta Utara,Kelapa gading,586772.4,9117,5.22554780943686
9/1/2022,2022,September,21,Jakarta Utara,Koja,7467.979,116,5.21339290442304
9/1/2022,2022,September,21,Jakarta Utara,Pademangan,146843.873216545,316,4.15813324104026
9/1/2022,2022,September,21,Jakarta Utara,Penjaringan,565525.438699537,11085,1.23705327029108
9/1/2022,2022,September,21,Jakarta Utara,Tanjung Priok,1259.66509351453,20,4.15104324011495
10/1/2022,2022,October,22,Jakarta Utara,Cilincing,4349.968,68,2.18822006109755
10/1/2022,2022,October,22,Jakarta Utara,Kelapa gading,596556.6,9269,5.22554780943686
10/1/2022,2022,October,22,Jakarta Utara,Koja,7437.126,116,5.21339290442304
10/1/2022,2022,October,22,Jakarta Utara,Pademangan,145104.698945358,299,4.15813324104026
10/1/2022,2022,October,22,Jakarta Utara,Penjaringan,559898.366565402,10975,1.23705327029108
10/1/2022,2022,October,22,Jakarta Utara,Tanjung Priok,1211.48379697452,19,4.15104324011495
11/1/2022,2022,November,23,Jakarta Utara,Cilincing,4313.314,67,2.18822006109755
11/1/2022,2022,November,23,Jakarta Utara,Kelapa gading,606340.8,9421,5.22554780943686
11/1/2022,2022,November,23,Jakarta Utara,Koja,7406.273,115,5.21339290442304
11/1/2022,2022,November,23,Jakarta Utara,Pademangan,143395.255609428,283,4.15813324104026
11/1/2022,2022,November,23,Jakarta Utara,Penjaringan,554327.284734507,10865,1.23705327029108
11/1/2022,2022,November,23,Jakarta Utara,Tanjung Priok,1165.14540085958,18,4.15104324011495
12/1/2022,2022,December,24,Jakarta Utara,Cilincing,4276.66,66,2.18822006109755
12/1/2022,2022,December,24,Jakarta Utara,Kelapa gading,616125,9573,5.22554780943686
12/1/2022,2022,December,24,Jakarta Utara,Koja,7375.42,115,5.21339290442304
12/1/2022,2022,December,24,Jakarta Utara,Pademangan,141714.54377779,268,4.15813324104026
12/1/2022,2022,December,24,Jakarta Utara,Penjaringan,548811.636094026,10757,1.23705327029108
12/1/2022,2022,December,24,Jakarta Utara,Tanjung Priok,1120.57941553533,17,4.15104324011495
1/1/2023,2023,January,25,Jakarta Utara,Cilincing,4240.006,66,2.18822006109755
1/1/2023,2023,January,25,Jakarta Utara,Kelapa gading,625909.2,9725,5.14355877147619
1/1/2023,2023,January,25,Jakarta Utara,Koja,7344.567,114,5.21339290442304
1/1/2023,2023,January,25,Jakarta Utara,Pademangan,140061.613582669,253,4.15813324104026
1/1/2023,2023,January,25,Jakarta Utara,Penjaringan,543350.8690745,10650,1.23705327029108
1/1/2023,2023,January,25,Jakarta Utara,Tanjung Priok,1077.71804754592,17,4.15104324011495
2/1/2023,2023,February,26,Jakarta Utara,Cilincing,4203.352,65,2.18822006109755
2/1/2023,2023,February,26,Jakarta Utara,Kelapa gading,635693.4,9877,5.11694710299875
2/1/2023,2023,February,26,Jakarta Utara,Koja,7313.714,114,5.21339290442304
2/1/2023,2023,February,26,Jakarta Utara,Pademangan,138435.561495491,240,4.15813324104026
2/1/2023,2023,February,26,Jakarta Utara,Penjaringan,537944.437594675,10544,1.23705327029108
2/1/2023,2023,February,26,Jakarta Utara,Tanjung Priok,1036.49609648713,16,4.15104324011495
3/1/2023,2023,March,27,Jakarta Utara,Cilincing,4166.698,65,2.18822006109755
3/1/2023,2023,March,27,Jakarta Utara,Kelapa gading,645477.6,10029,5.11694710299875
3/1/2023,2023,March,27,Jakarta Utara,Koja,7282.861,113,5.21339290442304
3/1/2023,2023,March,27,Jakarta Utara,Pademangan,136835.527360847,227,4.15813324104026
3/1/2023,2023,March,27,Jakarta Utara,Penjaringan,532591.801006897,10439,1.23705327029108
3/1/2023,2023,March,27,Jakarta Utara,Tanjung Priok,996.850855823935,15,4.15104324011495
4/1/2023,2023,April,28,Jakarta Utara,Cilincing,4130.044,64,2.18822006109755
4/1/2023,2023,April,28,Jakarta Utara,Kelapa gading,655261.8,10181,5.11694710299875
4/1/2023,2023,April,28,Jakarta Utara,Koja,7252.008,113,5.21339290442304
4/1/2023,2023,April,28,Jakarta Utara,Pademangan,135260.691664033,215,4.15813324104026
4/1/2023,2023,April,28,Jakarta Utara,Penjaringan,527292.424043049,10335,1.25623398692055
4/1/2023,2023,April,28,Jakarta Utara,Tanjung Priok,958.722017501832,15,4.15104324011495
5/1/2023,2023,May,29,Jakarta Utara,Cilincing,4093.39,64,2.18822006109755
5/1/2023,2023,May,29,Jakarta Utara,Kelapa gading,665046,10333,5.11694710299875
5/1/2023,2023,May,29,Jakarta Utara,Koja,7221.155,112,5.21339290442304
5/1/2023,2023,May,29,Jakarta Utara,Pademangan,133710.273010436,203,4.15813324104026
5/1/2023,2023,May,29,Jakarta Utara,Penjaringan,522045.776761016,10233,1.25623398692055
5/1/2023,2023,May,29,Jakarta Utara,Tanjung Priok,922.051580206622,14,4.15104324011495
6/1/2023,2023,June,30,Jakarta Utara,Cilincing,4056.736,63,2.18822006109755
6/1/2023,2023,June,30,Jakarta Utara,Kelapa gading,674830.2,10485,5.08987079464682
6/1/2023,2023,June,30,Jakarta Utara,Koja,7190.302,112,5.21339290442304
6/1/2023,2023,June,30,Jakarta Utara,Pademangan,132183.525797357,192,4.15813324104026
6/1/2023,2023,June,30,Jakarta Utara,Penjaringan,516851.334491699,10131,1.25623398692055
6/1/2023,2023,June,30,Jakarta Utara,Tanjung Priok,886.783761133247,14,4.15104324011495
7/1/2023,2023,July,31,Jakarta Utara,Cilincing,4020.082,62,2.18822006109755
7/1/2023,2023,July,31,Jakarta Utara,Kelapa gading,684614.4,10637,5.08987079464682
7/1/2023,2023,July,31,Jakarta Utara,Koja,7159.449,111,5.21339290442304
7/1/2023,2023,July,31,Jakarta Utara,Pademangan,130679.738060903,182,4.15813324104026
7/1/2023,2023,July,31,Jakarta Utara,Penjaringan,511708.577786542,10030,1.25623398692055
7/1/2023,2023,July,31,Jakarta Utara,Tanjung Priok,852.864911129383,13,4.15104324011495
8/1/2023,2023,August,32,Jakarta Utara,Cilincing,3983.428,62,2.18822006109755
8/1/2023,2023,August,32,Jakarta Utara,Kelapa gading,694398.6,10789,5.08987079464682
8/1/2023,2023,August,32,Jakarta Utara,Koja,7128.596,111,5.21339290442304
8/1/2023,2023,August,32,Jakarta Utara,Pademangan,129198.229482389,172,4.15813324104026
8/1/2023,2023,August,32,Jakarta Utara,Penjaringan,506616.99236559,9930,1.25623398692055
8/1/2023,2023,August,32,Jakarta Utara,Tanjung Priok,820.243433084737,13,4.15104324011495
9/1/2023,2023,September,33,Jakarta Utara,Cilincing,3946.774,61,2.18822006109755
9/1/2023,2023,September,33,Jakarta Utara,Kelapa gading,704182.8,10941,5.08987079464682
