,0
0,2.188220061097553
1,5.225547809436855
2,5.213392904423038
3,4.1581332410402645
4,1.1978820361080205
5,4.151043240114954
6,2.188220061097553
7,5.225547809436855
8,5.213392904423038
9,4.1581332410402645
10,1.1978820361080205
11,4.151043240114954
12,2.188220061097553
13,5.225547809436855
14,5.213392904423038
15,4.1581332410402645
16,1.1978820361080205
17,4.151043240114954
18,2.188220061097553
19,5.225547809436855
20,5.213392904423038
21,4.1581332410402645
22,1.1978820361080205
23,4.151043240114954
24,2.188220061097553
25,5.225547809436855
26,5.213392904423038
27,4.1581332410402645
28,1.1978820361080205
29,4.151043240114954
30,2.188220061097553
31,5.225547809436855
32,5.213392904423038
33,4.1581332410402645
34,1.1978820361080205
35,4.151043240114954
36,2.188220061097553
37,5.225547809436855
38,5.213392904423038
39,4.1581332410402645
40,1.1978820361080205
41,4.151043240114954
42,2.188220061097553
43,5.225547809436855
44,5.213392904423038
45,4.1581332410402645
46,1.1978820361080205
47,4.151043240114954
48,2.188220061097553
49,5.225547809436855
50,5.213392904423038
51,4.1581332410402645
52,1.1978820361080205
53,4.151043240114954
54,2.188220061097553
55,5.225547809436855
56,5.213392904423038
57,4.1581332410402645
58,1.1978820361080205
59,4.151043240114954
60,2.188220061097553
61,5.225547809436855
62,5.213392904423038
63,4.1581332410402645
64,1.2170532702910757
65,4.151043240114954
66,2.188220061097553
67,5.225547809436855
68,5.213392904423038
69,4.1581332410402645
70,1.237053270291076
71,4.151043240114954
72,2.188220061097553
73,5.225547809436855
74,5.213392904423038
75,4.1581332410402645
76,1.237053270291076
77,4.151043240114954
78,2.188220061097553
79,5.225547809436855
80,5.213392904423038
81,4.1581332410402645
82,1.237053270291076
83,4.151043240114954
84,2.188220061097553
85,5.225547809436855
86,5.213392904423038
87,4.1581332410402645
88,1.237053270291076
89,4.151043240114954
90,2.188220061097553
91,5.225547809436855
92,5.213392904423038
93,4.1581332410402645
94,1.237053270291076
95,4.151043240114954
96,2.188220061097553
97,5.225547809436855
98,5.213392904423038
99,4.1581332410402645
100,1.237053270291076
101,4.151043240114954
102,2.188220061097553
103,5.225547809436855
104,5.213392904423038
105,4.1581332410402645
106,1.237053270291076
107,4.151043240114954
108,2.188220061097553
109,5.225547809436855
110,5.213392904423038
111,4.1581332410402645
112,1.237053270291076
113,4.151043240114954
114,2.188220061097553
115,5.225547809436855
116,5.213392904423038
117,4.1581332410402645
118,1.237053270291076
119,4.151043240114954
120,2.188220061097553
121,5.225547809436855
122,5.213392904423038
123,4.1581332410402645
124,1.237053270291076
