Tanggal,tahun,bulan,bulan_2,wilayah,Kecamatan,pam,pat
2/1/2022,2022,February,2,Jakarta Utara,Tanjung Priok,1655.07427476591,26
3/1/2022,2022,March,3,Jakarta Utara,Cilincing,4606.546,72
3/1/2022,2022,March,3,Jakarta Utara,Kelapa gading,528067.2,8205
3/1/2022,2022,March,3,Jakarta Utara,Koja,7653.097,119
3/1/2022,2022,March,3,Jakarta Utara,Pademangan,157966.436727567,439
3/1/2022,2022,March,3,Jakarta Utara,Penjaringan,600495.578812266,11770
3/1/2022,2022,March,3,Jakarta Utara,Tanjung Priok,1591.76885744602,25
4/1/2022,2022,April,4,Jakarta Utara,Cilincing,4569.892,71
4/1/2022,2022,April,4,Jakarta Utara,Kelapa gading,537851.4,8357
4/1/2022,2022,April,4,Jakarta Utara,Koja,7622.244,118
4/1/2022,2022,April,4,Jakarta Utara,Pademangan,156024.628141857,416
4/1/2022,2022,April,4,Jakarta Utara,Penjaringan,594520.547970194,11653
4/1/2022,2022,April,4,Jakarta Utara,Tanjung Priok,1530.88482744582,24
5/1/2022,2022,May,5,Jakarta Utara,Cilincing,4533.238,70
5/1/2022,2022,May,5,Jakarta Utara,Kelapa gading,547635.6,8509
5/1/2022,2022,May,5,Jakarta Utara,Koja,7591.391,118
5/1/2022,2022,May,5,Jakarta Utara,Pademangan,154119.808644788,393
5/1/2022,2022,May,5,Jakarta Utara,Penjaringan,588604.969678355,11537
5/1/2022,2022,May,5,Jakarta Utara,Tanjung Priok,1472.32956841743,23
6/1/2022,2022,June,6,Jakarta Utara,Cilincing,4496.584,70
6/1/2022,2022,June,6,Jakarta Utara,Kelapa gading,557419.8,8661
6/1/2022,2022,June,6,Jakarta Utara,Koja,7560.538,117
6/1/2022,2022,June,6,Jakarta Utara,Pademangan,152250.595343573,372
6/1/2022,2022,June,6,Jakarta Utara,Penjaringan,582748.25237399,11422
6/1/2022,2022,June,6,Jakarta Utara,Tanjung Priok,1416.01400652262,22
7/1/2022,2022,July,7,Jakarta Utara,Cilincing,4459.93,69
7/1/2022,2022,July,7,Jakarta Utara,Kelapa gading,567204,8813
7/1/2022,2022,July,7,Jakarta Utara,Koja,7529.685,117
7/1/2022,2022,July,7,Jakarta Utara,Pademangan,150415.681476753,352
7/1/2022,2022,July,7,Jakarta Utara,Penjaringan,576949.810380487,11309
7/1/2022,2022,July,7,Jakarta Utara,Tanjung Priok,1361.85247493432,21
8/1/2022,2022,August,8,Jakarta Utara,Cilincing,4423.276,69
8/1/2022,2022,August,8,Jakarta Utara,Kelapa gading,576988.2,8965
8/1/2022,2022,August,8,Jakarta Utara,Koja,7498.832,117
8/1/2022,2022,August,8,Jakarta Utara,Pademangan,148613.830926485,334
8/1/2022,2022,August,8,Jakarta Utara,Penjaringan,571209.063848815,11196
8/1/2022,2022,August,8,Jakarta Utara,Tanjung Priok,1309.76258352082,20
9/1/2022,2022,September,9,Jakarta Utara,Cilincing,4386.622,68
9/1/2022,2022,September,9,Jakarta Utara,Kelapa gading,586772.4,9117
9/1/2022,2022,September,9,Jakarta Utara,Koja,7467.979,116
9/1/2022,2022,September,9,Jakarta Utara,Pademangan,146843.873216545,316
9/1/2022,2022,September,9,Jakarta Utara,Penjaringan,565525.438699537,11085
9/1/2022,2022,September,9,Jakarta Utara,Tanjung Priok,1259.66509351453,20
10/1/2022,2022,October,10,Jakarta Utara,Cilincing,4349.968,68
10/1/2022,2022,October,10,Jakarta Utara,Kelapa gading,596556.6,9269
10/1/2022,2022,October,10,Jakarta Utara,Koja,7437.126,116
10/1/2022,2022,October,10,Jakarta Utara,Pademangan,145104.698945358,299
10/1/2022,2022,October,10,Jakarta Utara,Penjaringan,559898.366565402,10975
10/1/2022,2022,October,10,Jakarta Utara,Tanjung Priok,1211.48379697452,19
11/1/2022,2022,November,11,Jakarta Utara,Cilincing,4313.314,67
11/1/2022,2022,November,11,Jakarta Utara,Kelapa gading,606340.8,9421
11/1/2022,2022,November,11,Jakarta Utara,Koja,7406.273,115
11/1/2022,2022,November,11,Jakarta Utara,Pademangan,143395.255609428,283
11/1/2022,2022,November,11,Jakarta Utara,Penjaringan,554327.284734507,10865
11/1/2022,2022,November,11,Jakarta Utara,Tanjung Priok,1165.14540085958,18
12/1/2022,2022,December,12,Jakarta Utara,Cilincing,4276.66,66
12/1/2022,2022,December,12,Jakarta Utara,Kelapa gading,616125,9573
12/1/2022,2022,December,12,Jakarta Utara,Koja,7375.42,115
12/1/2022,2022,December,12,Jakarta Utara,Pademangan,141714.54377779,268
12/1/2022,2022,December,12,Jakarta Utara,Penjaringan,548811.636094026,10757
12/1/2022,2022,December,12,Jakarta Utara,Tanjung Priok,1120.57941553533,17
1/1/2023,2023,January,1,Jakarta Utara,Cilincing,4240.006,66
1/1/2023,2023,January,1,Jakarta Utara,Kelapa gading,625909.2,9725
1/1/2023,2023,January,1,Jakarta Utara,Koja,7344.567,114
1/1/2023,2023,January,1,Jakarta Utara,Pademangan,140061.613582669,253
1/1/2023,2023,January,1,Jakarta Utara,Penjaringan,543350.8690745,10650
1/1/2023,2023,January,1,Jakarta Utara,Tanjung Priok,1077.71804754592,17
2/1/2023,2023,February,2,Jakarta Utara,Cilincing,4203.352,65
2/1/2023,2023,February,2,Jakarta Utara,Kelapa gading,635693.4,9877
2/1/2023,2023,February,2,Jakarta Utara,Koja,7313.714,114
2/1/2023,2023,February,2,Jakarta Utara,Pademangan,138435.561495491,240
2/1/2023,2023,February,2,Jakarta Utara,Penjaringan,537944.437594675,10544
2/1/2023,2023,February,2,Jakarta Utara,Tanjung Priok,1036.49609648713,16
3/1/2023,2023,March,3,Jakarta Utara,Cilincing,4166.698,65
3/1/2023,2023,March,3,Jakarta Utara,Kelapa gading,645477.6,10029
3/1/2023,2023,March,3,Jakarta Utara,Koja,7282.861,113
3/1/2023,2023,March,3,Jakarta Utara,Pademangan,136835.527360847,227
3/1/2023,2023,March,3,Jakarta Utara,Penjaringan,532591.801006897,10439
3/1/2023,2023,March,3,Jakarta Utara,Tanjung Priok,996.850855823935,15
4/1/2023,2023,April,4,Jakarta Utara,Cilincing,4130.044,64
4/1/2023,2023,April,4,Jakarta Utara,Kelapa gading,655261.8,10181
4/1/2023,2023,April,4,Jakarta Utara,Koja,7252.008,113
4/1/2023,2023,April,4,Jakarta Utara,Pademangan,135260.691664033,215
4/1/2023,2023,April,4,Jakarta Utara,Penjaringan,527292.424043049,10335
4/1/2023,2023,April,4,Jakarta Utara,Tanjung Priok,958.722017501832,15
5/1/2023,2023,May,5,Jakarta Utara,Cilincing,4093.39,64
5/1/2023,2023,May,5,Jakarta Utara,Kelapa gading,665046,10333
5/1/2023,2023,May,5,Jakarta Utara,Koja,7221.155,112
5/1/2023,2023,May,5,Jakarta Utara,Pademangan,133710.273010436,203
5/1/2023,2023,May,5,Jakarta Utara,Penjaringan,522045.776761016,10233
5/1/2023,2023,May,5,Jakarta Utara,Tanjung Priok,922.051580206622,14
6/1/2023,2023,June,6,Jakarta Utara,Cilincing,4056.736,63
6/1/2023,2023,June,6,Jakarta Utara,Kelapa gading,674830.2,10485
6/1/2023,2023,June,6,Jakarta Utara,Koja,7190.302,112
6/1/2023,2023,June,6,Jakarta Utara,Pademangan,132183.525797357,192
6/1/2023,2023,June,6,Jakarta Utara,Penjaringan,516851.334491699,10131
6/1/2023,2023,June,6,Jakarta Utara,Tanjung Priok,886.783761133247,14
7/1/2023,2023,July,7,Jakarta Utara,Cilincing,4020.082,62
7/1/2023,2023,July,7,Jakarta Utara,Kelapa gading,684614.4,10637
7/1/2023,2023,July,7,Jakarta Utara,Koja,7159.449,111
7/1/2023,2023,July,7,Jakarta Utara,Pademangan,130679.738060903,182
7/1/2023,2023,July,7,Jakarta Utara,Penjaringan,511708.577786542,10030
7/1/2023,2023,July,7,Jakarta Utara,Tanjung Priok,852.864911129383,13
8/1/2023,2023,August,8,Jakarta Utara,Cilincing,3983.428,62
8/1/2023,2023,August,8,Jakarta Utara,Kelapa gading,694398.6,10789
8/1/2023,2023,August,8,Jakarta Utara,Koja,7128.596,111
8/1/2023,2023,August,8,Jakarta Utara,Pademangan,129198.229482389,172
8/1/2023,2023,August,8,Jakarta Utara,Penjaringan,506616.99236559,9930
8/1/2023,2023,August,8,Jakarta Utara,Tanjung Priok,820.243433084737,13
9/1/2023,2023,September,9,Jakarta Utara,Cilincing,3946.774,61
9/1/2023,2023,September,9,Jakarta Utara,Kelapa gading,704182.8,10941
9/1/2023,2023,September,9,Jakarta Utara,Koja,7097.743,110
9/1/2023,2023,September,9,Jakarta Utara,Pademangan,127738.349540274,163
9/1/2023,2023,September,9,Jakarta Utara,Penjaringan,501576.069066056,9831
9/1/2023,2023,September,9,Jakarta Utara,Tanjung Priok,788.869703441896,12
10/1/2023,2023,October,10,Jakarta Utara,Cilincing,3910.12,61
10/1/2023,2023,October,10,Jakarta Utara,Kelapa gading,713967,11093
10/1/2023,2023,October,10,Jakarta Utara,Koja,7066.89,110
10/1/2023,2023,October,10,Jakarta Utara,Pademangan,126299.475795064,154
10/1/2023,2023,October,10,Jakarta Utara,Penjaringan,496585.30379141,9734
10/1/2023,2023,October,10,Jakarta Utara,Tanjung Priok,758.695996709328,12
11/1/2023,2023,November,11,Jakarta Utara,Cilincing,3873.466,60
11/1/2023,2023,November,11,Jakarta Utara,Kelapa gading,723751.2,11245
11/1/2023,2023,November,11,Jakarta Utara,Koja,7036.037,109
11/1/2023,2023,November,11,Jakarta Utara,Pademangan,124881.012295868,146
11/1/2023,2023,November,11,Jakarta Utara,Penjaringan,491644.197460965,9637
11/1/2023,2023,November,11,Jakarta Utara,Tanjung Priok,729.676412861705,11
12/1/2023,2023,December,12,Jakarta Utara,Cilincing,3836.812,60
12/1/2023,2023,December,12,Jakarta Utara,Kelapa gading,733535.4,11397
12/1/2023,2023,December,12,Jakarta Utara,Koja,7005.184,109
12/1/2023,2023,December,12,Jakarta Utara,Pademangan,123482.388098394,138
12/1/2023,2023,December,12,Jakarta Utara,Penjaringan,486752.255959972,9541
12/1/2023,2023,December,12,Jakarta Utara,Tanjung Priok,701.766807517122,11
1/1/2024,2024,January,1,Jakarta Utara,Cilincing,3800.158,59
1/1/2024,2024,January,1,Jakarta Utara,Kelapa gading,743319.6,11549
1/1/2024,2024,January,1,Jakarta Utara,Koja,6974.331,108
1/1/2024,2024,January,1,Jakarta Utara,Pademangan,122103.055885161,131
1/1/2024,2024,January,1,Jakarta Utara,Penjaringan,481908.990090202,9446
1/1/2024,2024,January,1,Jakarta Utara,Tanjung Priok,674.924724784974,10
2/1/2024,2024,February,2,Jakarta Utara,Cilincing,3763.504,58
2/1/2024,2024,February,2,Jakarta Utara,Kelapa gading,753103.8,11701
2/1/2024,2024,February,2,Jakarta Utara,Koja,6943.478,108
2/1/2024,2024,February,2,Jakarta Utara,Pademangan,120742.490679583,124
2/1/2024,2024,February,2,Jakarta Utara,Penjaringan,477113.915521034,9352
2/1/2024,2024,February,2,Jakarta Utara,Tanjung Priok,649.109332682365,10
3/1/2024,2024,March,3,Jakarta Utara,Cilincing,3726.85,58
3/1/2024,2024,March,3,Jakarta Utara,Kelapa gading,762888,11853
3/1/2024,2024,March,3,Jakarta Utara,Koja,6912.625,107
3/1/2024,2024,March,3,Jakarta Utara,Pademangan,119400.188646369,117
3/1/2024,2024,March,3,Jakarta Utara,Penjaringan,472366.552741015,9259
3/1/2024,2024,March,3,Jakarta Utara,Tanjung Priok,624.28136102079,10
4/1/2024,2024,April,4,Jakarta Utara,Cilincing,3690.196,57
4/1/2024,2024,April,4,Jakarta Utara,Kelapa gading,772672.2,12005
4/1/2024,2024,April,4,Jakarta Utara,Koja,6881.772,107
4/1/2024,2024,April,4,Jakarta Utara,Pademangan,118075.665971367,111
4/1/2024,2024,April,4,Jakarta Utara,Penjaringan,467666.427009909,9167
4/1/2024,2024,April,4,Jakarta Utara,Tanjung Priok,600.403041668603,9
5/1/2024,2024,May,5,Jakarta Utara,Cilincing,3653.542,57
5/1/2024,2024,May,5,Jakarta Utara,Kelapa gading,782456.4,12157
5/1/2024,2024,May,5,Jakarta Utara,Koja,6850.919,106
5/1/2024,2024,May,5,Jakarta Utara,Pademangan,116768.457814632,105
5/1/2024,2024,May,5,Jakarta Utara,Penjaringan,463013.068311228,9076
5/1/2024,2024,May,5,Jakarta Utara,Tanjung Priok,577.438051098415,9
6/1/2024,2024,June,6,Jakarta Utara,Cilincing,3616.888,56
6/1/2024,2024,June,6,Jakarta Utara,Kelapa gading,792240.6,12309
6/1/2024,2024,June,6,Jakarta Utara,Koja,6820.066,106
6/1/2024,2024,June,6,Jakarta Utara,Pademangan,115478.117331041,99
6/1/2024,2024,June,6,Jakarta Utara,Penjaringan,458406.011305224,8985
6/1/2024,2024,June,6,Jakarta Utara,Tanjung Priok,555.351455131997,9
7/1/2024,2024,July,7,Jakarta Utara,Cilincing,3580.234,56
7/1/2024,2024,July,7,Jakarta Utara,Kelapa gading,802024.8,12461
7/1/2024,2024,July,7,Jakarta Utara,Koja,6789.213,105
7/1/2024,2024,July,7,Jakarta Utara,Pademangan,114204.214753298,94
7/1/2024,2024,July,7,Jakarta Utara,Penjaringan,453844.795282356,8896
7/1/2024,2024,July,7,Jakarta Utara,Tanjung Priok,534.109655798664,8
8/1/2024,2024,August,8,Jakarta Utara,Cilincing,3543.58,55
8/1/2024,2024,August,8,Jakarta Utara,Kelapa gading,811809,12613
8/1/2024,2024,August,8,Jakarta Utara,Koja,6758.36,105
8/1/2024,2024,August,8,Jakarta Utara,Pademangan,112946.336532612,89
8/1/2024,2024,August,8,Jakarta Utara,Penjaringan,449328.964117222,8807
8/1/2024,2024,August,8,Jakarta Utara,Tanjung Priok,513.680340226287,8
9/1/2024,2024,September,9,Jakarta Utara,Cilincing,3506.926,55
9/1/2024,2024,September,9,Jakarta Utara,Kelapa gading,821593.2,12765
9/1/2024,2024,September,9,Jakarta Utara,Koja,6727.507,105
9/1/2024,2024,September,9,Jakarta Utara,Pademangan,111704.084532756,84
9/1/2024,2024,September,9,Jakarta Utara,Penjaringan,444858.066222941,8720
9/1/2024,2024,September,9,Jakarta Utara,Tanjung Priok,494.032431487179,8
10/1/2024,2024,October,10,Jakarta Utara,Cilincing,3470.272,54
10/1/2024,2024,October,10,Jakarta Utara,Kelapa gading,831377.4,12917
10/1/2024,2024,October,10,Jakarta Utara,Koja,6696.654,104
10/1/2024,2024,October,10,Jakarta Utara,Pademangan,110477.075273575,80
10/1/2024,2024,October,10,Jakarta Utara,Penjaringan,440431.654505999,8633
10/1/2024,2024,October,10,Jakarta Utara,Tanjung Priok,475.136041324098,7
11/1/2024,2024,November,11,Jakarta Utara,Cilincing,3433.618,53
11/1/2024,2024,November,11,Jakarta Utara,Kelapa gading,841161.6,13069
11/1/2024,2024,November,11,Jakarta Utara,Koja,6665.801,104
11/1/2024,2024,November,11,Jakarta Utara,Pademangan,109264.93922034,76
11/1/2024,2024,November,11,Jakarta Utara,Penjaringan,436049.286321536,8547
11/1/2024,2024,November,11,Jakarta Utara,Tanjung Priok,456.962424684448,7
12/1/2024,2024,December,12,Jakarta Utara,Cilincing,3396.964,53
12/1/2024,2024,December,12,Jakarta Utara,Kelapa gading,850945.8,13221
12/1/2024,2024,December,12,Jakarta Utara,Koja,6634.948,103
12/1/2024,2024,December,12,Jakarta Utara,Pademangan,108067.320115669,72
12/1/2024,2024,December,12,Jakarta Utara,Penjaringan,431710.52342908,8462
12/1/2024,2024,December,12,Jakarta Utara,Tanjung Priok,439.483935993512,7
1/1/2025,2025,January,1,Jakarta Utara,Cilincing,3360.31,52
1/1/2025,2025,January,1,Jakarta Utara,Kelapa gading,860730,13373
1/1/2025,2025,January,1,Jakarta Utara,Koja,6604.095,103
1/1/2025,2025,January,1,Jakarta Utara,Pademangan,106883.874350968,68
1/1/2025,2025,January,1,Jakarta Utara,Penjaringan,427414.931948727,8378
1/1/2025,2025,January,1,Jakarta Utara,Tanjung Priok,422.673987100196,7
2/1/2025,2025,February,2,Jakarta Utara,Cilincing,3323.656,52
2/1/2025,2025,February,2,Jakarta Utara,Kelapa gading,870514.2,13525
2/1/2025,2025,February,2,Jakarta Utara,Koja,6573.242,102
2/1/2025,2025,February,2,Jakarta Utara,Pademangan,105714.270374649,64
2/1/2025,2025,February,2,Jakarta Utara,Penjaringan,423162.082317749,8294
2/1/2025,2025,February,2,Jakarta Utara,Tanjung Priok,406.507006831336,6
3/1/2025,2025,March,3,Jakarta Utara,Cilincing,3287.002,51
3/1/2025,2025,March,3,Jakarta Utara,Kelapa gading,880298.4,13677
3/1/2025,2025,March,3,Jakarta Utara,Koja,6542.389,102
3/1/2025,2025,March,3,Jakarta Utara,Pademangan,104558.188134542,61
3/1/2025,2025,March,3,Jakarta Utara,Penjaringan,418951.549247639,8212
3/1/2025,2025,March,3,Jakarta Utara,Tanjung Priok,390.958402093004,6
4/1/2025,2025,April,4,Jakarta Utara,Cilincing,3250.348,51
4/1/2025,2025,April,4,Jakarta Utara,Kelapa gading,890082.6,13830
4/1/2025,2025,April,4,Jakarta Utara,Koja,6511.536,101
4/1/2025,2025,April,4,Jakarta Utara,Pademangan,103415.318552179,57
4/1/2025,2025,April,4,Jakarta Utara,Penjaringan,414782.911681581,8130
4/1/2025,2025,April,4,Jakarta Utara,Tanjung Priok,376.004520459677,6
5/1/2025,2025,May,5,Jakarta Utara,Cilincing,3213.694,50
5/1/2025,2025,May,5,Jakarta Utara,Kelapa gading,899866.8,13982
5/1/2025,2025,May,5,Jakarta Utara,Koja,6480.683,101
5/1/2025,2025,May,5,Jakarta Utara,Pademangan,102285.363026786,54
5/1/2025,2025,May,5,Jakarta Utara,Penjaringan,410655.752752346,8049
5/1/2025,2025,May,5,Jakarta Utara,Tanjung Priok,361.622614194334,6
6/1/2025,2025,June,6,Jakarta Utara,Cilincing,3177.04,49
6/1/2025,2025,June,6,Jakarta Utara,Kelapa gading,909651,14134
6/1/2025,2025,June,6,Jakarta Utara,Koja,6449.83,100
6/1/2025,2025,June,6,Jakarta Utara,Pademangan,101168.032966974,51
6/1/2025,2025,June,6,Jakarta Utara,Penjaringan,406569.659740599,7969
6/1/2025,2025,June,6,Jakarta Utara,Tanjung Priok,347.790805644764,5
7/1/2025,2025,July,7,Jakarta Utara,Cilincing,3140.386,49
7/1/2025,2025,July,7,Jakarta Utara,Kelapa gading,919435.2,14286
7/1/2025,2025,July,7,Jakarta Utara,Koja,6418.977,100
7/1/2025,2025,July,7,Jakarta Utara,Pademangan,100063.049348315,49
7/1/2025,2025,July,7,Jakarta Utara,Penjaringan,402524.224033636,7890
7/1/2025,2025,July,7,Jakarta Utara,Tanjung Priok,334.488053963438,5
8/1/2025,2025,August,8,Jakarta Utara,Cilincing,3103.732,48
8/1/2025,2025,August,8,Jakarta Utara,Kelapa gading,929219.4,14438
8/1/2025,2025,August,8,Jakarta Utara,Koja,6388.124,99
8/1/2025,2025,August,8,Jakarta Utara,Pademangan,98970.142295096,46
8/1/2025,2025,August,8,Jakarta Utara,Penjaringan,398519.041084514,7811
8/1/2025,2025,August,8,Jakarta Utara,Tanjung Priok,321.694123100324,5
9/1/2025,2025,September,9,Jakarta Utara,Cilincing,3067.078,48
