,Tanggal,Kecamatan,pam,pat,elevasi,bulan,bulan_num,tahun,wilayah
60,2018-02-01,Cipayung,681759,10593,73.364437924,February,2,2018,Jakarta Timur
61,2018-02-01,Makasar,2413094,37494,29.364437924,February,2,2018,Jakarta Timur
62,2018-02-01,Pasar Rebo,890349,13834,48.36443792399999,February,2,2018,Jakarta Timur
63,2018-02-01,Jatinegara,249135,3871,17.364437924,February,2,2018,Jakarta Timur
64,2018-02-01,Duren sawit,227961,3542,20.364437924,February,2,2018,Jakarta Timur
65,2018-02-01,Matraman,198227,3080,9.364437924,February,2,2018,Jakarta Timur
66,2018-02-01,Pulo Gadung,193528,3007,11.364437924,February,2,2018,Jakarta Timur
67,2018-02-01,Cakung,749916,11652,9.364437924,February,2,2018,Jakarta Timur
68,2018-02-01,Tanjung Priok,58567,910,4.389159601,February,2,2018,Jakarta Utara
69,2018-02-01,Cilincing,6629,103,2.389159601,February,2,2018,Jakarta Utara
70,2018-02-01,Kelapa gading,30055,467,5.389159601,February,2,2018,Jakarta Utara
71,2018-02-01,Koja,6435,100,5.389159601,February,2,2018,Jakarta Utara
72,2018-02-01,Pademangan,495696,7702,4.389159601,February,2,2018,Jakarta Utara
73,2018-02-01,Penjaringan,1277599,19851,1.389159601,February,2,2018,Jakarta Utara
74,2018-02-01,Setiabudi,1537998,23897,23.394847366999997,February,2,2018,Jakarta Selatan
75,2018-02-01,Tebet,1281397,19910,18.394847367,February,2,2018,Jakarta Selatan
76,2018-02-01,Keb Baru,1089219,16924,20.394847367,February,2,2018,Jakarta Selatan
77,2018-02-01,Keb Lama,3970657,61695,25.394847366999997,February,2,2018,Jakarta Selatan
78,2018-02-01,Cilandak,3694941,57411,38.394847367,February,2,2018,Jakarta Selatan
79,2018-02-01,Pesanggrahan,451288,7012,22.394847366999997,February,2,2018,Jakarta Selatan
80,2018-02-01,Pasar Minggu,4485211,69690,39.394847367,February,2,2018,Jakarta Selatan
81,2018-02-01,Jagakarsa,1983172,30814,62.394847367,February,2,2018,Jakarta Selatan
82,2018-02-01,Mampang Prapatan,1473638,22897,26.394847366999997,February,2,2018,Jakarta Selatan
83,2018-02-01,Pancoran,3214047,49939,25.394847366999997,February,2,2018,Jakarta Selatan
84,2018-03-01,Kalideres,880695,13684,5.352066161000001,March,3,2018,Jakarta Barat
85,2018-03-01,Cengkareng,430564,6690,3.352066161,March,3,2018,Jakarta Barat
86,2018-03-01,Tambora,386,6,4.352066161000001,March,3,2018,Jakarta Barat
87,2018-03-01,Grogol Petamburan,358932,5577,4.352066161000001,March,3,2018,Jakarta Barat
88,2018-03-01,Taman Sari,207559,3225,5.352066161000001,March,3,2018,Jakarta Barat
